12:05:16 INFO  : Registering command handlers for SDK TCF services
12:05:17 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\smkilani\Documents\atfc\firmware\hellworld\hellworld.sdk\temp_xsdb_launch_script.tcl
12:05:20 INFO  : XSCT server has started successfully.
12:05:35 INFO  : Successfully done setting XSCT server connection channel  
12:05:35 INFO  : Processing command line option -hwspec C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf.
12:05:35 INFO  : Successfully done setting SDK workspace  
12:10:46 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:10:47 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:10:49 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:31:59 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1511353900990,  Project:1511352205500
12:31:59 INFO  : Project system_wrapper_hw_platform_0's source hardware specification located at C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
12:34:27 INFO  : Copied contents of C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf into \system_wrapper_hw_platform_0\system.hdf.
12:34:27 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
12:34:29 INFO  : 
12:34:30 INFO  : Updating hardware inferred compiler options for hello.
12:34:30 INFO  : Clearing existing target manager status.
12:34:30 WARN  : Unable to obtain port 2350 for use by XMD, java.net.SocketException: Unrecognized Windows Sockets error: 0: JVM_Bind
12:34:32 INFO  : Closing and re-opening the MSS file of ther project hello_bsp
12:34:33 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
12:34:34 WARN  : Linker script will not be updated automatically. Users need to update it manually.
12:35:28 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:35:28 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:35:30 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:36:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:36:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:36:22 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:37:55 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:37:55 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:37:57 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:39:52 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:39:52 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:39:54 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:40:49 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:40:49 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:40:51 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
12:57:18 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1511355383529,  Project:1511353900990
12:57:18 INFO  : Project system_wrapper_hw_platform_0's source hardware specification located at C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
12:57:19 INFO  : Copied contents of C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf into \system_wrapper_hw_platform_0\system.hdf.
12:57:19 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
12:57:21 INFO  : 
12:57:22 INFO  : Updating hardware inferred compiler options for hello.
12:57:22 INFO  : Clearing existing target manager status.
12:57:22 INFO  : Closing and re-opening the MSS file of ther project hello_bsp
12:57:23 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
12:57:23 WARN  : Linker script will not be updated automatically. Users need to update it manually.
12:58:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
12:58:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
12:58:14 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
13:05:56 INFO  : SDK has detected change in the last modified timestamps for source hardware specification file Source:1511355773668,  Project:1511355383529
13:05:56 INFO  : Project system_wrapper_hw_platform_0's source hardware specification located at C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf is now different from the local copy.
		 The local copy will be replaced with the source specification and your workspace will be updated.
13:06:43 INFO  : Copied contents of C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper.hdf into \system_wrapper_hw_platform_0\system.hdf.
13:06:43 INFO  : Synchronizing projects in the workspace with the hardware platform specification changes.
13:06:45 INFO  : 
13:06:46 INFO  : Updating hardware inferred compiler options for hello.
13:06:46 INFO  : Clearing existing target manager status.
13:06:46 INFO  : Closing and re-opening the MSS file of ther project hello_bsp
13:06:47 INFO  : Workspace synchronized with the new hardware specification file. Cleaning dependent projects...
13:06:48 WARN  : Linker script will not be updated automatically. Users need to update it manually.
13:07:38 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
13:07:38 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent JTAG-HS2 210249A1461F" && level==0} -index 0' command is executed.
13:07:40 INFO  : FPGA configured successfully with bitstream "C:/Users/smkilani/Documents/atfc/firmware/hellworld/hellworld.sdk/system_wrapper_hw_platform_0/download.bit"
